Aalénien_N	aalénien_A
Acon_X	Aconnaise_N
Acon_X	aconnais_A
Acon_X	aconnaise_A
Acoz_X	Acozien_N
Acoz_X	Acozienne_N
Acoz_X	acozien_A
Acq_X	Acquois_N
Acq_X	Acquoise_N
Acq_X	acquois_A
Acq_X	acquoise_A
Acqueville_X	Acquevillais_N
Acqueville_X	Acquevillaise_N
Acqueville_X	acquevillais_A
Acquigny_X	Acquignicien_N
Acquigny_X	Acquignicienne_N
Acquigny_X	acquignicien_A
Acquigny_X	acquignicienne_A
Acy_X	Acéen_N
Acy_X	Acéenne_N
Acy_X	acéen_A
Acy_X	acéenne_A
Adainville_X	Adainvillois_N
Adainville_X	Adainvilloise_N
Adainville_X	adainvillois_A
Adainville_X	adainvilloise_A
Adamswiller_X	Adamswillerois_N
Adamswiller_X	Adamswilleroise_N
Adamswiller_X	adamswillerois_A
Adast_X	Adastois_N
Adast_X	Adastoise_N
Adast_X	adastois_A
Adaube_X	Windaube_X
Adelaïde_N	Alice_X
Adelaïde_N	Alison_X
Adelaïde_N	Alix_N
Adelaïde_N	Alizon_X
Adelaïde_N	Allix_X
Adelphe_N	Adelphine_N
Adelphe_N	Philadelphie_X
Adelphe_N	philadelphe_A
Adilly_X	Adillysien_N
Adilly_X	Adillysienne_N
Adilly_X	adillysien_A
Adinfer_X	Adinferrois_N
Adinfer_X	Adinferroise_N
Adinfer_X	adinferrois_A
Adinfer_X	adinferroise_A
Adissan_X	Adissanais_N
Adissan_X	Adissanaise_N
Adissan_X	adissanais_A
Adolphe_N	Adelphe_N
Adriers_X	Adriaud_N
Adriers_X	Adriaude_N
Adriers_X	adriaud_A
Adriers_X	adriaude_A
Ady_X	Valady_X
Adyguée_X	Adyguéen_X
Adyguée_X	Adyguéenne_X
Adyguée_X	adyguéen_X
Adyguée_X	adyguéenne_X
Adèle_N	Adela_X
Adèle_N	Adelheid_X
Adèle_N	Adelina_X
Adèle_N	Adeline_X
Adèle_N	Adelita_X
Adèle_N	Adoucha_X
Adèle_N	Adélaïde_N
Adèle_N	Adélia_N
Adèle_N	Adélie_N
Adèle_N	Alice_X
Adèle_N	Aline_X
Adèle_N	Della_X
Adèle_N	Ethel_X
Adé_X	Adérien_N
Adé_X	Adérienne_N
Adé_X	adérien_A
Adélaïde_N	Adaline_X
Adélaïde_N	Adelasia_X
Adélaïde_N	Adelice_X
Adélaïde_N	Adeline_X
Adélaïde_N	Adèle_N
Adélaïde_N	Adélais_X
Adélaïde_N	Aleyde_X
Adélaïde_N	Alice_X
Adélaïde_N	Alix_N
Adélaïde_N	Azalaïs_X
Adélia_N	Adelina_X
Adélia_N	Adeline_X
