Évelette_X	Évelettoise_N	Évelettois_N	évelettois_A
Casamançaise_X	Casamançais_X	casamançais_X	Casamance_X
Eynesse_X	Eynessois_N	eynessoise_A	Eynessoise_N	eynessois_A
wemmelois_A	Wemmel_X	Wemmelois_N	Wemmeloise_N
pneumatomètre_N	pneumatométrie_N
Talangeois_N	talangeois_A	Talangeoise_N	talangeoise_A	Talange_X
Émancéenne_N	émancéen_A	émancéenne_A	Émancé_X	Émancéen_N
benoisvillaise_A	benoisvillais_A	Benoisvillaise_N	Benoisvillais_N	Benoîtville_X
Gervais_N	Gervasy_X	Gerwin_X	Gervaisien_N	Gervin_X
Coësmois_N	coësmoise_A	Coësmes_X	coësmois_A	Coësmoise_N
Chenevessienne_N	chenevessienne_A	Échenevex_X	Chenevessien_N	chenevessien_A
réverbérer_V	réverbère_N	réverbération_N	réverbératoire_A
fultotaise_A	fultotais_A	Fultotais_N	Fultot_X	Fultotaise_N
palisser_V	palissade_N	palissage_N	palissader_X	palissable_A
Lafélinoise_N	Laféline_X	lafélinois_A	Lafélinois_N	lafélinoise_A
curmontais_A	curmontaise_A	Curmontais_N	Curmont_X	Curmontaise_N
Dadonville_X	dadonvilloise_A	dadonvillois_A	Dadonvilloise_N	Dadonvillois_N
toulouzettaine_A	toulouzettain_A	Toulouzette_X	Toulouzettain_N	Toulouzettaine_N
blémissement_N	blêmir_V	blême_A	blêmissement_N
Salouasien_N	Salouël_X	salouasienne_A	salouasien_A	Salouasienne_N
Burgy_X	Burgeronne_N	burgeron_A	burgeronne_A	Burgeron_N
Purotin_N	Purotine_N	purotine_A	purotin_N	purot_N	Pure_X	purée_N
hamoniste_N	Hamon_X
Meyenheimoise_N	Meyenheim_X	Meyenheimois_N	meyenheimois_A
ponteillanais_A	Ponteilla_X	Ponteillanais_N	Ponteillanaise_N	ponteillanaise_A
furtivement_D	furtif_A
bibelotage_N	bibelotière_N	bibeloteuse_N	bimbeloterie_N	bibeloteur_N	bimbelot_N	bimbelotier_N	bibelot_N	bibelotier_N	bibeloter_V
actualiser_V	réactualiser_V
anharmonique_A	anharmonicitéfranharmonicité_X	équianharmonique_A
puritain_A	puritanismefrpuritanisme_X
fourdrinois_A	Fourdrinoy_X	fourdrinoise_A	Fourdrinoise_N	Fourdraine_N	fourdraine_A	fourdrain_A	Fourdrain_N	Fourdrinois_N
sarkoziste_A	sarkoïsation_X	antisarkozyste_N	désarkoïser_V	sarkozisme_N	sarkozyesque_A	sarkoïser_V	sarkozyste_A	Sarkozy_X	sarkozysme_N	Sarkozie_X	désarkozyfier_V	Sarkoland_X	antisarkozysme_N	désarkozyfication_X
belliqueux_A	cobelligérant_A	belligérance_N	belligérant_A	belligérer_V	belliciste_A	belliqueusement_D	imbelliqueux_A	bellique_X	bellicole_N	cobelligérance_N	antibellicisme_X	bellicisme_N
uniloculairefr_X	triloculaire_A	polariloculairefr_X	pluriloculairefr_X	quadriloculairefr_X	loculaire_A	loculé_A	locule_X	décemloculairefr_X	sexloculairefr_X	biloculairefr_X	triloculairefr_X
étouffement_N	étouffer_V	étouffade_N	étouffage_N	étouffeur_N
savassonne_A	Savasson_N	Savassonne_N	Savasse_X	savasson_A
Breuilaufais_N	breuilaufaise_A	Breuilaufaise_N	breuilaufais_A	Breuilaufa_X
réfectoire_N	réfectorier_N	réfectionner_V	réfection_N
montmerréine_A	Montmerréine_N	Montmerréin_N	Montmerrei_X	montmerréin_A
limpétrablefr_X	impétrant_A	limpétrationfr_X	impétrer_V	impétration_N	limpétrerfr_X
Choméracois_N	choméracoise_A	Chomérac_X	Choméracoise_N	choméracois_A
vélocer_V	véloçable_A
Auenheimoise_N	Auenheim_X	auenheimois_A	Auenheimois_N
platykurticité_N	platikurticité_X	platicurticité_X	platikurtique_N	platykurtique_A	platycurticité_X
subtilisationfr_X	subtiliser_V
téléconférence_N	conférencière_N	reconférer_V	conférence_N	visioconférence_N	vidéoconférence_N	conférer_V	conférencier_N	conférencer_V
Lingolsheimoise_N	Lingolsheimois_N	lingolsheimois_A	Lingolsheim_X
égyptienne_A	égyptiac_A	égyptianisation_X	égyptiennerie_X	égyptique_X	vineux_A	égyptologie_N	égyptisation_X	fétider_V	égyptomanie_X	officinal_A	désempuantir_V	empuantir_V	égyptien_A	empuantissement_N	Égyptien_N	égyptophobie_X	fétidité_N	égyptianiser_V	égyptophobe_X	égyptophile_X	puant_A	empuanter_V	égyptisant_N	botannocat_X	égyptiser_V	puamment_D	Égyptienne_N	Égypte_X	égyptomane_X	égyptologue_N	fétide_A	égyptophilie_X	égyptiaque_A	égyptoïde_X	égyptisme_X
Murs_X	mursois_A	murien_A	Murienne_N	Murien_N	Mursois_N	Mursoise_N
mammalien_A	Clr_X	mammifère_A	aulne_N	aulnaie_N
Belleysan_N	Belley_X	belleysan_A	Belleysanne_N	belleysanne_A
Houlgatais_N	Houlgate_X	houlgatais_A	Houlgataise_N	houlgataise_A
Goincourt_X	Goincourtoise_N	Goincourtois_N	goincourtoise_A	goincourtois_A
Randaoillard_N	randaoillarde_A	randaoillard_A	Aranc_X	Randaoillarde_N
sarpourenois_A	Sarpourenoise_N	Sarpourenx_X	Sarpourenois_N	sarpourenoise_A
Maimbeville_X	Maimbevillois_N	maimbevillois_A	maimbevilloise_A	Maimbevilloise_N
authonais_A	Authonaise_N	authonoise_A	Authonois_N	Authonier_N	Authon_X	Authonière_N	authonaise_A	Authonais_N	Authonoise_N	authonière_A	authonois_A	authonier_A
Valdoyen_N	valdoyenne_A	valdoyen_A	Valdoyenne_N	Valdoie_X
Brévillers_X	Brévilloise_N	Brévillais_N	Brévillaise_N	Bréville_X	Brévillois_N	brévillois_A	brévillaise_A	brévillais_A	brévilloise_A
accrocher_V	raccrochage_N	raccrocher_V	accrocheur_A	raccroc_N	accroc_N	accrochement_N	accrochage_N	entr’accrocher_V	raccrocheur_N	accrochant_V
hoévilloise_A	Hoéville_X	Hoévilloise_N	hoévillois_A	Hoévillois_N
Tralonca_X	Traloncais_N	traloncais_A	Traloncaise_N
Appenwihrien_N	Appenwihr_X	Appenwihrienne_N	appenwihrienne_A	appenwihrien_A
Meurcéen_N	meurcéenne_A	meurcéen_A	Meurcéenne_N	Meurcé_X
bliespontaine_A	Bliesbruck_X	Bliespontaine_N	Bliespontain_N	bliespontain_A
commissionneur_N	commissionner_V
Logronaise_N	logronais_A	Logron_X	Logronais_N	logronaise_A
heuzecourtois_A	Heuzecourtois_N	heuzecourtoise_A	Heuzecourtoise_N	Heuzecourt_X
tromper_V	trompeur_A	disposé_A	disposeur_N	disposition_X	apprêté_A	disposer_V	trompage_N	biseauté_A	surtromper_V	tromperie_N	trompement_N
Tréziers_X	tréziéroise_A	Tréziéroise_N	tréziérois_A	Tréziérois_N
collotypie_N	collotypiste_N
Indre_X	Indrais_N	indrien_A	Indroisfr_X	Indraise_N	Indrien_X	indrais_A
omonvillaise_A	Omonvillais_N	Omonvillaise_N	Omonville_X	omonvillais_A
wavrinois_A	Wavrinoise_N	Wavrinois_N	Wavrin_X	wavrinoise_A
furchhausois_A	Furchhausen_X	Furchhausoise_N	furchhausoise_A	Furchhausois_N
reuillat_A	Reuil_X	Reuillat_N	reuillate_A	Reuillate_N
domeyratois_A	Domeyratois_N	Domeyratoise_N	domeyratoise_A	Domeyrat_X
affûtoir_X	raffuter_V	fût_N	futailleur_X	affutiau_X	futaille_N	affuté_A	affuteur_X	affûtiaux_N	affûtiau_N	affutoir_X	affûteuse_N	raffut_N	raffûter_V	affûté_A	affûteur_N	futailler_N	enfutailler_V	affûter_V	futée_N	affut_N	affuteuse_X	affutage_N	douve_N	futaillerie_N	affuter_V	fûtier_N	futaie_N	affût_N	affûtage_N
vicolais_A	Vicolais_N	vicolaise_A	Vico_X	Vicolaise_N
idiomographie_N	idiomographiquefr_X
Karaïme_X	caraïte_N	caraïsme_N	karaïte_N	karaïsme_N	Karaïte_X	karaïme_X
grazacais_A	Grazacaise_N	grazacois_A	Grazacoise_N	Grazac_X	Grazacois_N	Grazacais_N
Biardaise_N	Balleroy_X	Biardais_N	Billarde_N	biardais_A	Billard_X	billard_N
Ottrottois_N	Ottrott_X	Ottrottoise_N	ottrottoise_A	ottrottois_A
halogéner_V	halogénation_N	déshalogéner_V	halogène_N	halogénure_N	déshalogénation_X
diémois_A	Diémoise_N	Diémois_N	diémoise_A	Diémoz_X
catamnèse_X	catamnestique_A
brallevillois_A	Bralleville_X	Brallevillois_N	brallevilloise_A	Brallevilloise_N
escanécrabais_A	Escanécrabaise_N	Escanécrabais_N	Escanecrabe_X
coléreux_A	colérique_A
hibernationfr_X	hivernalement_D	hiver_N	hivernable_A	hiverner_V	hivernois_N	hiémal_A	posthivernal_X	hiberner_V	hivernant_A	hivernation_N	hivériser_V	hivernage_N	préhiver_N	entr’hiver_N	hivernaliser_V	hibernacle_N	hivernal_A	entr’hiverner_V	d’hiver_A	hivernagefr_X	préhivernal_X	hivernophile_A	hibernation_X
poussivement_D	pousse_N	pousser_V	poussement_N	poussoir_N	poussette_N	poussade_N	pousseur_N	poussepousse_N	poussif_A	poussée_N	poussé_A	poussage_N
Dormans_X	dormaniste_A	Dormaniste_N
monotypie_N	monotypique_A	monotype_X
Tressinois_N	Tressin_X	Tressinoise_N	tressinois_A	tressinoise_A
Gidéen_N	gidéenne_A	Gidéenne_N	Gidy_X	gidéen_A
Lestrefr_X	Étrellesfr_X	Estréen_N	Létrafr_X	Estrée_X	Estréenne_N	Estréesfr_X	Estréellesfr_X	Étrezfr_X	estréen_A	L’Étratfr_X
flottant_A	flottille_N	flottaison_N	flotté_A	flotteur_N	flottage_N	flottable_A	flottement_N	flottation_N	flotte_X	flotter_V	flottabilité_N	flottard_N	flot_X
Mortefontainois_N	mortefontainoise_A	mortefontainois_A	Mortefontainoise_N	Mortefontaine_X
stéréoradargrammétrie_N	radargrammétrie_N
Amazy_X	Amazycois_N	amazycoise_A	amazycois_A	Amazycoise_N
pessinoise_A	Pessines_X	pessinois_A	Pessinoise_N	Pessinois_N
baidicéenne_A	Baidicéen_N	bavestien_A	baiséen_A	Bavestienne_N	Baidicéenne_N	baidicéen_A	Baiséenne_N	Baiséen_N	bavestienne_A	Bavestien_N	baiséenne_A	Bais_N
Schlierbachois_N	schlierbachois_A	Schlierbachoise_N	Schlierbach_X
gromellement_N	gromeller_V
ironie_X	ironiser_V	ironiste_N	ironique_A	ironiquement_D
Novellanne_N	Novel_X	novellan_A	novellanne_A	Novellan_N
Gavissoise_N	gavissois_A	Gavissois_N	Gavisse_X	gavissoise_A
Roinvilliérain_N	Roinvilliéraine_N	roinvilliérain_A	roinvilliéraine_A	Roinvilliers_X
citronnade_N	limonadière_N	orangeade_N	limonadier_N	limonade_X	gingembrade_N
vertavien_A	Vertou_X	Vertavienne_N	Vertavien_N	vertavienne_A
Allonvillois_N	allonvilloise_A	Allonvilloise_N	Allonville_X	allonvillois_A
Ymonville_X	Ymonvilloise_N	ymonvilloise_A	ymonvillois_A	Ymonvillois_N
navarois_A	navois_A	navoise_A	navaroise_A	Navarois_X	Navaroise_N	Navoise_N	Naves_X	Navois_N
radioélectrique_A	radioélectricité_N
Belgentienne_X	balgentienne_X	Balgentiaquois_X	Balgentiaquoise_X	Belgentien_X	balgentiaquoise_X	Balgencien_N	belgentienne_X	Beaugency_X	balgentiaquois_X	Balgentienne_X	belgentien_X	balgencien_A	Balgencienne_N	balgentien_X	Balgentien_X	balgencienne_A
Nargissien_N	Nargissienne_N	nargissien_A	nargissienne_A	Nargis_X
Lesthunienne_N	lesthunien_A	lesthunienne_A	Lesthunien_N	Léthuin_X
Beuvardoise_N	Beuvardes_X	beuvardois_A	Beuvardois_N	beuvardoise_A
cueillaison_N	recueilli_A	bonheur_N	aérien_A	heur_X	malheur_X	malheureusement_D	heureuseté_N	vénérer_V	recueillement_N	air_X	bienheureux_A	recueillir_V	vénération_N	malheureux_A	vénérable_A	aériennement_D	heureusement_D	accueillant_A	accueillir_V	accueillable_A	cueilleur_A	joyeuse_A	recueil_N	cueillette_N	malchance_N	malheure_X	antiaérien_A	figure_X	accueil_N	épanouie_A	malchanceux_A	cueilloir_N	heureux_A	cueillir_V
yottamètre_N	yottamétrique_A
Ulméracienne_N	Ulméracien_N	ulméracien_A	ulméracienne_A	Osmery_X
myennois_A	Myennes_X	Myennois_N	Myennoise_N	myennoise_A
Hagécurtienne_N	hagécurtienne_A	hagécurtien_A	Hagécourt_X	Hagécurtien_N
antiboulangisme_X	Boulanger_X	boulangisme_N	boulangiste_A	antiboulangiste_A
Courthiézy_X	Courthiézien_N	courthiézien_A	courthiézienne_A	Courthiézienne_N
oblation_X	oblature_N	oblativité_N	oblatif_A	oblat_N	oblationnaire_N
Craintillois_N	craintilloise_A	craintillois_A	Craintilloise_N	Craintilleux_X
bollywoodienne_A	Bollywood_X	bollywoodien_A	Tollywood_X	Kollywood_X	Pallywood_X	Hollywood_X
embryulce_N	embryulciefr_X
astaillacoise_A	Astaillacois_N	Astaillac_X	astaillacois_A	Astaillacoise_N
bellêmoise_A	Bellêmoise_N	Bellême_X	bellêmois_A	Bellêmois_N
marbozien_A	marbozienne_A	Marboz_X	Marbozien_N	Marbozienne_N
écueilloise_A	Écueilloise_N	Écueillé_X	Écueillois_N	écueillois_A
rubempréen_A	Rubempréenne_N	Rubempréen_N	rubempréenne_A	Rubempré_X
téléostomiens_N	eutéléostomiens_X
polminhacois_A	polminhacoise_A	Polminhac_X	Polminhacois_N	Polminhacoise_N
schisme_N	chasme_N	schismatique_A
phagocytose_N	phagocyte_X	phagocyter_V	phagocytaire_N	phagocytant_A
paléographique_A	paléographie_N
autolaisance_X	complaisance_N	inlaisance_X
bruiter_V	ébruiter_V
cussonné_A	cusson_X
mercycoise_A	Mercycois_N	mercycois_A	Mercycoise_N	Mercy_X
champvoussois_A	Champvoussoise_N	Champvoux_X	champvoussoise_A	Champvoussois_N
gandrangeoise_A	gandrangeois_A	Gandrangeois_N	Gandrangeoise_N	Gandrange_X
Cramchaban_X	cramchabanais_A	cramchabanaise_A	Cramoise_N	Cramchabanais_N	cramoise_A	Cramchabanaise_N	Cramois_N	cramois_A
astragalisme_N	astragalectomie_N	astragalomancie_N	astragalée_N	astragale_N
Huchenneville_X	huchennevillois_A	huchennevilloise_A	Huchennevilloise_N	Huchennevillois_N
ventelle_N	ventelleriefr_X
mourièsenne_A	mourièsen_A	Mouriès_X	Mourièsen_N	Mourièsenne_N
Périers_X	Prisiaise_N	prisiais_A	prisiaise_A	Prisiais_N
chymefr_X	prosenchyme_N
contretypage_N	contretyper_V	contretype_N
jurassien_A	Jurassien_X
Lastourois_N	lastourois_A	Lastouroise_N	lastouroise_A	Lastours_X
Prayols_X	Prayolais_N	Prayolaise_N	prayolais_A
briastrois_A	Briastre_X	briastroise_A	Briastroise_N	Briastrois_N
défacturation_X	facturette_N	facture_N	refacturer_V	facturier_N	facturable_A	défacturer_V	facturation_N	refacturation_X	préfacturation_N	surfacturation_N	préfacturer_V	facturer_V	surfacturer_V
Samart_X	Samartois_N	Samartoise_N	samartois_A
Bellevillois_N	Bellevilloise_N	Belleville_X	bellevillois_A
Feytiat_X	feytiacois_A	Feytiacois_N	Feytiacoise_N	feytiacoise_A
diarthrodial_A	diarthrose_N
boudiné_A	boudin_N	boudiner_V
Bunzacoise_N	bunzacoise_A	Bunzac_X	bunzacois_A	Bunzacois_N
pacser_V	pacsage_N	pacsable_A
bâtonnable_A	bâtonnat_N	embâtonner_V	bâton_N	bâtonner_V	bâtonnière_N	bâtonniste_N	bâtonnet_N	désembâtonné_A	rebâtonner_V	bâtonnier_N	bastonnade_X
estipouyaise_A	Estipouyaise_N	Estipouy_X	Estipouyais_N	estipouyais_A
inanité_N	inane_X	inaniser_V
Montereau_X	monterelais_A	Monterelaise_N	Monterelais_N
bergholtzoise_A	Bergholtz_X	bergholtzois_A	Bergholtzoise_N	Bergholtzois_N
sternalgie_N	anxiodépressif_A	odontalgique_A	triste_X	gastralgie_N	dépressif_A	médiéval_A	inespéré_A	lombaire_A	médiévisant_A	arthralgique_A	médiévaliste_A	maniaque_A	lombes_N	sacralgie_N	déprime_N	inespérable_A	lypémanie_N	myalgie_N	lombalgie_X	médiévisme_N	coxalgie_N	médiévaliser_V	causalgie_N	antidépresseur_N	Lombreuilloise_X	odontalgie_N	talalgie_N	hépatalgiquefr_X	entéralgique_X	Lombreuil_X	monomanie_N	cardialgie_X	psychalgie_N	médiévalisation_N	cruralgie_X	désespérant_A	déprimer_V	médiéviste_N	déprimé_V	otalgie_N	neurasthénie_N	Lombaire_N	dorsalgie_N	mélancolique_A	proctalgie_N	redéprimer_V	rachialgie_N	antalgie_N	neurasthénique_A	hémialgique_X	hépatalgie_N	prélombairefr_X	algédonique_A	nostalgie_X	hyperalgie_N	espérer_V	tristounet_A	espérance_N	médiévalisme_N	rachialgique_A	Lombreuillois_N	maniacodépressif_A	hémialgie_N	désespoir_N	ostéalgie_N	manie_X	otalgiquefr_X	monomaniaque_A	hyperalgésie_N	dépresseur_N	médiévalgie_N	entéralgie_N	gonalgie_N	mélancolie_N	remédiévaliser_V	céphalalgie_N	désespérance_N	inespoir_N	arthralgie_N	dépression_N	névralgie_N	antalgique_A	algie_N	mélancoliquement_D	maniaquerie_N	tristesse_N
dargnien_A	Dargnienne_N	Dargnien_N	Dargnies_X	dargnienne_A
chassoise_A	Chassoise_N	chassois_A	Chassois_N	Chas_X
Fourgienne_N	Fourges_X	fourgien_A	Fourgien_N
Morcourtois_N	morcourtoise_A	morcourtois_A	Morcourt_X	Morcourtoise_N
puybrunais_A	Puybrunais_N	Puybrun_X	Puybrunaise_N
vesvrienne_A	Vesvres_X	Vesvrien_N	vesvrien_A	Vesvrienne_N
Morcenaise_N	Morcenx_X	morcenais_A	Morcenais_N	morcenaise_A
Euvezinoise_N	euvezinoise_A	Euvezinois_N	euvezinois_A	Euvezin_X
lamellipède_A	lamellipodefr_X
diversité_N	diversement_D	biodiversité_N
débringuer_V	bringue_N
mystèrefr_X	myste_N	mystifierfr_X	mystiquefr_X
irrépressif_A	répressif_A
Minzier_X	Minziérois_N	Minziéroise_N	minziérois_A	minziéroise_A
enfoncer_V	défonceuse_N	enfoncement_N	défonceur_N	foncé_A	fonçaille_N	enfoncé_A	langfrfond_X	enfonceur_N	surenfoncement_N	défoncer_V	renfoncement_N	foncer_V	fonceur_A	défonce_N	renfoncer_V
Espinassoise_N	espinassoise_A	Espinassois_N	espinassois_A	Espinasse_X
Lailly_X	Laitien_N	Laitienne_N	laitienne_A	laitien_A
Champésien_N	champésien_A	Champésienne_X	Champs_X
placeur_N	plaçage_N	placier_N
Bessinoise_N	bessinois_A	Bessines_N	Bessens_X	bessinoise_A	Bessins_N	Bessinois_N
enjaillement_N	enjailler_V	enjailleur_N	enjaillementer_X	enjaillance_X
Artonnoise_N	artonnoise_A	Artonnois_N	artonnois_A	Artonne_X
loyas_X	Loyas_X	Loyase_X	Éloyes_X	loyase_X
janséniste_N	jansénistement_D	Jansénius_X	jansénisme_N
fals_X	fels_X	flouze_N	fils_X	follis_X
historiographiquefr_X	historiographier_V	historiographiefr_X	historiographique_A	historicité_N	préhistorique_A	rehistoriser_V	historiographe_N	historien_N	langfrbiologie_X	préhistoriquement_X	historiser_V	historieurfr_X	préhistoire_N	historiette_N	préhistorien_N	historique_A	historienne_N	histoire_N	zoologique_A	historisant_A	métahistorique_A	protohistorique_A	anhistorique_A	historié_A	zoologie_X	historicisme_N	protohistoire_N	historiographierfr_X	historiographerfr_X	historisation_N	métahistoire_N	zoologiste_N	historier_V	historisme_N	historiciste_A	historiographie_N	historiquement_D	semihistorique_X
resouffler_V	souffleter_V	insuffler_V	souffle_N	souffleteur_N	souffletier_N	soufflet_N	dessouffler_V	souffleur_A	souffleuse_A	souffler_V	soufflure_N	insufflation_N	soufflerie_N
spiritualiser_V	bispirituel_N	bispiritualisme_N	déspiritualiser_V	esprit_N	spirituellement_D	bispiritualité_N	bispirituelle_N	spiritualisme_N	spiritualité_N	périsprit_N	esprits_N	spirituel_A	spiritueux_A	spiritualisation_N
bousbecquoise_A	bousbecquois_A	Bousbecquois_N	Bousbecque_X	Bousbecquoise_N
insinuation_X	insinuement_N	insinuatif_A	réinsinuer_V	insinuer_V
burgalaysien_A	Burgalaysien_N	Burgalaysienne_N	Burgalays_X
Allognoise_N	allognois_A	Allognois_N	Allogny_X	allognoise_A
mitannien_X	Mitanni_X	Mitanien_X	Mitannien_X	mitanien_A
Villerestoise_N	villerestois_A	Villerestois_N	villerestoise_A	Villerest_X
eybinoise_A	eybinois_A	Eybens_X	Eybinois_N	Eybinoise_N
corromblois_A	corrombloise_A	Corrombloise_N	Corrombles_X	Corromblois_N
Bletterans_X	bletteranoise_A	Bletteranoise_N	Bletteranois_N	bletteranois_A
Soudaysienne_N	soudaysien_A	Soudaysien_N	Souday_X
Ayrault_X	Airaud_X	Airault_X	Hérau_X	Ayral_X	Errault_X	Ayrau_X	Hérault_X	Ayraut_X	Airaut_X	Héraultais_X	héraultais_A	Hérauld_X	Ayreau_X	Ayraudeau_X	Airaudo_X	Héraud_X	Héraultaise_X	Ayreault_X	Éraut_X	Héraux_X	Ayraud_X	Héraut_X	Érault_X	Ayrald_X
macler_V	démacler_V	maclage_N
Durbansienne_N	durbansienne_A	Durbansien_N	durbansien_A	Durbans_X
Floréenne_N	Floréen_N	Florée_X	floréen_A
lannilisienne_A	lannilisien_A	Lannilis_X	Lannilisienne_N	Lannilisien_N
Boisselien_N	boisselienne_A	boisselien_A	Boisseaux_X	Boisselienne_N
Routot_X	routotoise_A	Routotoise_N	routotois_A	Routotois_N
inutilement_D	inutilité_N
Chalabroise_N	Chalabre_X	chalabroise_A	chalabrois_A	Chalabrois_N
endogènefrendogène_X	endogenèse_N
garçonnière_X	garçonne_N	garçonnier_A	garcette_N	gars_X	garce_N	garçon_X	garçonnet_N
cardiotoxique_X	cardiotoxicité_X	cardiotoxine_N
Plérin_X	Plérinaise_N	plérinaise_A	Plérinais_N	plérinais_A
cambiacois_A	Cambiac_X	Cambiacois_N	Cambiacoise_N
hydatide_N	hydatigèrefr_X	hydatidocèlefr_X	hydatique_A	hydatoïdefr_X
Hers_X	choucrouteusefr_X	tempéréfr_X	choucroute_N	paracyésie_N	choucrouteuxfr_X	revalescière_N	tempéramentfr_X	choucrouterie_N	fr_N	tempéreusefr_X	tempérantfr_X	tempérancefr_X	tempéragefr_X	tempérer_V	menstrue_N	obtempérerfr_X	choucrouterfr_X	choucrouteux_A	tempérament_N	tempéramental_X	tempérance_N	choucroutier_N
Malmédienne_N	Malmedy_X	Malmédien_N	malmédien_A
incendier_V	incendie_N	incendiaire_A	réincendier_V
fossoyenne_A	Fossoy_X	Fossoyenne_N	fossoyen_A	Fossoyen_N
émoucheter_V	émouchetage_N
scourtinerie_N	scourtinier_N	scourtin_N
Divionnaise_N	Divionnais_N	divionnais_A	Divion_X	divionnaise_A
calamandre_N	calamendrierfr_X
démandriner_V	mandrin_N	emmandriner_V
Glannes_X	glanniat_A	Glanniate_N	glanniate_A	Glanniat_N
Allainville_X	Allainvillois_N	allainvillois_A	Allainvilloise_N
Chanasien_N	Chanasienne_N	chanasien_A	Chanas_X	chanasienne_A
Montourtereau_N	Montourtier_X	montourterelle_A	Montourterelle_N	montourtereau_A
Chalvraines_X	Chalvrainoise_N	chalvrainoise_A	Chalvrainois_N	chalvrainois_A
lcombifr_X	combiner_V	combiné_A	combinable_A	combinard_N	combinat_N	combinaisonfr_X	combinaison_N	combine_X	recombinerfr_X	combinatoire_A	combination_X	combinateur_N
péjoratif_N	péjorer_V	péjorativement_D
ranchero_N	rancherfr_X	rancheriefr_X	rangerfr_X	rancherie_N	ranchofr_X
Tigerien_N	tigerien_A	Tigery_X	Tigerienne_N	tigerienne_A
crupétois_A	Crupet_X	Crupétois_N	Crupétoise_N
Upienne_N	Upie_X	upienne_A	upien_A	Upien_N
tannaysien_A	Tannaysien_N	tannaysienne_A	Tannaysienne_N	Tannay_X
Aleysienne_X	esleysien_A	aleysienne_X	esleysienne_A	Esley_X	aleysien_X	Esleysien_N	Esleysienne_N	Aleysien_X
équilibrage_N	équilibre_N	équilibration_N	rééquilibrage_N
effraie_N	effrayant_A	frayeur_N	effroi_X	effroyable_A	effrayer_V	effrayable_A
épiglottal_A	glottal_X	glottique_A	glotte_N	épiglotte_N
Cornant_X	cornantais_A	Cornantais_N	Cornantaise_N	cornantaise_A
chénéraillais_A	Chénérailles_X	chénéraillaise_A	Chénéraillais_N	Chénéraillaise_N
Chérancéen_N	Chérancé_X	chérancéenne_A	chérancéen_A	Chérancéenne_N
lourmarinois_A	Lourmarinois_N	lourmarinoise_A	Lourmarin_X	Lourmarinoise_N
chouraver_V	chouraveur_N	chouravage_N	rechourrer_V	chourrer_V	chourave_N
Bréviandes_X	Bréviandois_N	bréviandoise_A	Bréviandoise_N	bréviandois_A
Aubordoise_N	aubordois_A	Aubord_X	aubordoise_A	Aubordois_N
ancizanois_A	Ancizan_X	ancizanoise_A	Ancizanoise_N	Ancizanois_N
Roscanveliste_N	Roscanvel_X	roscanveliste_A
Beaurainvillois_N	beaurainvillois_A	beaurainvilloise_A	Beaurainvilloise_N	Beaurainville_X
genestaise_A	Genestaise_N	Genêts_X	Genestais_N	genestais_A
Peyruguienne_N	Lapeyrugue_X	peyruguien_A	Peyruguien_N
hypermétriefr_X	hypermétriquefr_X	hypermètre_A
extéroceptivité_N	extérocepteur_N	extéroception_N	extéroceptif_N
Chavannois_N	Chavannaz_X	chavannoise_A	chavannois_A	Chavannoise_N
chiroptéroduc_N	mégachiroptère_X	chiroptérophilie_N	Chiroptera_X	chiroptère_N	Chiroptères_X	microchiroptère_X
montgesticoise_A	Montgesticoise_N	Montgesticois_N	montgesticois_A	Montgesty_X
guède_N	guéderfr_X
colmarfr_X	Gratien_N	Vénitienne_N	Brantômais_N	Brantômaise_N	Vénètes_X	Martigues_X	Vénète_X	vénitien_A	montargois_A	Bruges_X	Colmarienne_N	jennéen_X	Montargis_X	martégal_A	Annecy_X	vénète_A	paléovénète_X	Boucherville_X	Recife_X	Vénézuéla_X	Djenné_X	Colmarien_N	Nantes_X	sétois_A	Stockholm_X	Sétois_N	Montargoise_N	vénètophone_X	Sète_X	Sétoise_N	Vancouver_X	annéciens_A	blond_X	Vénitien_N	djennéen_X	Bangkok_X	Brantôme_X	Jennéen_X	Grenoble_X	Djennéen_X	Amsterdam_X	vénézuélien_A	Annéciens_N	Omans_X	Vénézuélien_N	montargoise_A	brantômais_A	Colmar_X	Vénétie_X	colmarien_A	vénitienne_A	Venise_X	Montargois_N	Mopti_X	Niort_X
Lentinellus_X	lentin_N	auriscalpiacées_X	Aphyllophoralespolyporales_X	Lentinula_X	tricholomatacée_N	polyporacée_X	russulales_X	Lentinus_X	marasmiacée_X	lentinacée_X
vaudantine_A	Lavaldens_X	Vaudantine_N	vaudantin_A	Vaudantin_N
échanvrer_V	échanvroir_N
Séméacaise_N	Séméacais_N	séméacaise_A	Séméac_X	séméacais_A
Étalans_X	estalanais_A	Estalanaise_N	Estalanais_N
Bléharienne_N	Bléharies_X	Bléharien_N	bléharien_A
yennoise_A	Yenne_X	Yennois_N	yennois_A	Yennoise_N
farisienne_A	Lafare_X	farisien_A	Farisien_N	Farisienne_N
Lipsheimoise_N	Lipsheimois_N	Lipsheim_X	lipsheimois_A
drageon_N	drageonnement_N	drageonner_V	drageonnage_N
signal_X	signalétique_A	signaliser_V	resignaliser_V	signalisation_N	signalisateur_A	signalement_X	signaler_X
Marnaisien_N	marnaysienne_A	Marnaisienne_N	Marnaysienne_N	marnaisienne_A	Marnay_X	marnaysien_A	Marnaysien_N	marnaisien_A
lacrymo_A	lacrymogène_A
